,ID_REF,GSM215632,GSM215633,GSM215636,GSM215639,GSM215642
265,SRCAP,14.0,14.8,8.5,12.9,26.4
266,MAP3K6,94.8,62.8,26.9,73.9,69.8
267,ARSG,219.1,297.9,193.6,281.1,137.7
268,ZNF101,341.9,243.6,279.1,285.4,304.8
269,ZNF101,506.0,270.7,281.7,405.8,432.1
270,PTPN11,61.4,2.7,25.7,47.9,34.3
271,KLHDC7B,76.2,10.3,80.0,43.0,11.5
272,ATAD3A /// ATAD3B,297.1,275.7,46.5,133.7,330.3
273,ZNF626,155.0,81.3,100.6,47.8,15.1
274,PHC3,182.3,126.0,92.9,152.8,184.5
275,IL11RA,127.1,103.0,183.6,134.0,151.0
276,TNFRSF10A,364.6,358.0,347.1,433.7,329.0
277,RAD51L3-RFFL /// RFFL,65.8,96.9,27.8,62.8,80.2
278,RAD51L3-RFFL /// RFFL,184.6,86.2,101.4,151.3,173.6
279,HPS4,129.9,122.6,116.4,223.9,131.0
280,UHMK1,1303.0,1253.6,1086.2,1078.5,1001.3
281,TXNDC2,70.0,117.3,37.1,30.9,11.3
282,NAV3,89.1,33.6,80.1,42.2,57.7
283,C5orf22,678.5,613.8,731.9,808.2,621.9
284,PCDHGB7,6.2,0.8,24.4,1.3,33.4
285,PCDHGB7,23.8,76.8,89.0,33.8,18.8
286,ERC1,172.0,138.8,192.4,174.3,218.4
287,FLCN,640.8,685.3,735.8,567.3,424.7
288,JMJD1C-AS1,109.7,118.2,167.1,82.0,92.6
289,LRRC7,8.5,6.6,35.9,11.1,34.8
290,SH2D3C,19.5,15.4,19.3,22.0,13.8
291,PPP1R3B,25.6,11.4,14.6,15.0,14.8
292,PPP1R3B,49.2,106.2,142.5,166.9,163.6
293,SLC9A7,91.7,46.4,56.2,150.2,125.4
294,IGSF3,13.1,12.7,19.5,11.5,18.7
295,RFX6,100.1,14.1,15.0,13.4,28.1
296,DIRC1,18.0,13.4,6.0,13.6,1.4
297,DNAJB7,40.9,32.4,34.6,71.6,8.8
298,UCN3,110.3,108.1,210.7,132.2,67.4
299,DIP2A,222.5,216.4,120.0,205.5,304.2
300,USP28,473.8,403.9,553.6,538.4,561.1
301,CASC5,723.3,394.5,313.2,364.0,351.0
302,CASC5,291.9,75.4,150.7,250.4,241.7
303,SENP8,246.3,210.0,275.2,207.2,233.8
304,GRHL1,156.4,121.5,184.8,238.9,240.7
305,CNBD2,6.1,22.2,37.2,31.1,9.1
306,CNBD2,10.5,60.6,60.5,91.6,6.7
307,CASKIN1,437.6,468.4,386.4,179.6,232.0
308,CACNA2D4,74.1,18.3,74.5,39.6,68.7
309,ARL11,0.8,14.7,6.4,21.1,12.3
310,ARL11,6.0,4.4,35.0,19.5,4.9
311,SLC2A13,22.5,12.0,3.9,2.4,22.8
312,SLC2A13,27.1,28.0,38.2,14.3,53.2
313,NIPA1,192.5,173.0,157.0,305.9,317.3
314,TUBA3FP,92.2,87.4,95.6,44.4,61.8
315,CARD16,26.6,30.0,63.3,69.3,54.8
316,CARD16 /// CASP1,69.2,26.4,48.9,97.5,57.8
317,DUSP19,54.0,1.3,48.1,71.3,53.1
318,DUSP19,59.0,26.8,42.5,38.9,29.8
319,CYB5D1,1474.0,1480.3,1356.4,1319.2,1410.3
320,NMNAT2,238.1,174.6,242.4,190.7,287.0
321,SLC4A1,20.6,79.8,51.0,71.2,44.6
322,CREG2,50.4,7.3,50.0,30.1,29.9
323,RXFP1,19.7,3.5,24.5,5.4,29.4
324,SPEF2,224.7,155.5,81.0,193.1,153.1
325,CEP170 /// CEP170P1,127.6,114.9,179.4,152.5,129.9
326,DTD1,97.6,101.0,114.5,106.0,45.6
327,CASC4,44.5,19.3,34.3,42.7,62.4
328,FGF1,31.3,3.9,5.7,75.9,1.6
329,ARPP21,55.3,15.8,3.5,8.6,24.3
330,RHOXF1,89.5,107.9,66.3,79.2,48.1
331,ADAMTS17,92.2,63.7,75.8,82.7,55.7
332,ADAMTS17,72.1,49.0,26.4,81.4,93.6
333,ADAMTS17,132.0,199.5,193.4,152.5,118.6
334,SNHG7 /// SNORA17 /// SNORA43,228.2,294.0,213.1,200.7,207.4
335,DHH,84.1,68.1,48.3,49.7,12.7
336,ABRA,4.9,15.9,4.0,4.4,2.1
337,ABRA,36.0,19.6,24.5,16.1,4.2
338,KLHDC1,52.7,5.1,6.4,42.0,51.9
339,RICTOR,48.5,37.0,37.4,30.7,38.2
340,PCDHGA4,411.9,339.4,343.3,347.0,240.9
341,NETO1,5712.9,6050.2,6038.0,6047.3,8936.4
342,WWP2,118.5,154.2,165.4,149.8,160.9
343,ST7L,399.6,458.8,371.6,285.1,446.1
344,ST7L,615.3,669.2,572.3,438.5,422.3
345,C2orf15,58.5,48.1,99.8,44.0,70.5
346,KCNH8,184.6,52.4,108.4,126.6,11.3
347,MCF2L,18.1,75.6,104.8,43.9,7.9
348,SLCO6A1,60.6,28.6,62.0,4.4,38.8
349,PP2D1,15.3,2.6,11.5,52.3,34.6
350,KLC3,116.9,49.6,168.9,149.7,90.6
351,CIB3,2.4,3.5,60.5,58.2,1.4
352,CIB3,46.3,97.1,105.4,24.4,24.8
353,CADM2,40.0,41.4,43.6,39.6,39.6
354,CADM2,32.9,1.4,1.7,38.6,9.0
