,gene,binary,count,dataset,binarization,impu
252,polB,1,27,ecoli_data,{K-Means},bin_onlyMissForest
253,recA,0,42,ecoli_data,{K-Means},bin_onlyMissForest
254,recA,1,7,ecoli_data,{K-Means},bin_onlyMissForest
255,umuD,0,40,ecoli_data,{K-Means},bin_onlyMissForest
256,umuD,1,9,ecoli_data,{K-Means},bin_onlyMissForest
257,uvrA,0,43,ecoli_data,{K-Means},bin_onlyMissForest
258,uvrA,1,6,ecoli_data,{K-Means},bin_onlyMissForest
259,uvrD,0,34,ecoli_data,{K-Means},bin_onlyMissForest
260,uvrD,1,15,ecoli_data,{K-Means},bin_onlyMissForest
261,lexA,0,43,ecoli_data,{K-Means},bin_Prob_and_MissForest
262,lexA,1,6,ecoli_data,{K-Means},bin_Prob_and_MissForest
263,polB,0,25,ecoli_data,{K-Means},bin_Prob_and_MissForest
264,polB,1,24,ecoli_data,{K-Means},bin_Prob_and_MissForest
265,recA,0,42,ecoli_data,{K-Means},bin_Prob_and_MissForest
266,recA,1,7,ecoli_data,{K-Means},bin_Prob_and_MissForest
267,umuD,0,40,ecoli_data,{K-Means},bin_Prob_and_MissForest
268,umuD,1,9,ecoli_data,{K-Means},bin_Prob_and_MissForest
269,uvrA,0,43,ecoli_data,{K-Means},bin_Prob_and_MissForest
270,uvrA,1,6,ecoli_data,{K-Means},bin_Prob_and_MissForest
271,uvrD,0,34,ecoli_data,{K-Means},bin_Prob_and_MissForest
272,uvrD,1,15,ecoli_data,{K-Means},bin_Prob_and_MissForest
273,lexA,?,6,ecoli_data,{Onestep},og_bin
274,lexA,0,38,ecoli_data,{Onestep},og_bin
275,lexA,1,5,ecoli_data,{Onestep},og_bin
276,polB,?,7,ecoli_data,{Onestep},og_bin
277,polB,0,22,ecoli_data,{Onestep},og_bin
278,polB,1,20,ecoli_data,{Onestep},og_bin
279,recA,?,4,ecoli_data,{Onestep},og_bin
280,recA,0,39,ecoli_data,{Onestep},og_bin
281,recA,1,6,ecoli_data,{Onestep},og_bin
282,umuD,?,3,ecoli_data,{Onestep},og_bin
283,umuD,0,38,ecoli_data,{Onestep},og_bin
